year,quarter,revenue,operating_income,net_income,fcf
2020,Q1,5767.691,958.256,709.067,51.9824
2020,Q2,6148.286,1357.928,720.196,208.2152
2020,Q3,6435.637,1314.863,789.976,252.75220000000002
2020,Q4,6644.0,954.0,542.0,-284.0
2021,Q1,7163.282,1959.856,1706.715,155.4532
2021,Q2,7341.777,1847.63,1353.013,-175.0
2021,Q3,7483.467,1755.253,1449.071,16.475800000000003
2021,Q4,7709.0,632.0,607.0,-569.0
2022,Q1,7867.767,1971.626,1597.447,184.56780000000003
2022,Q2,7970.141,1578.283,1440.951,20.55
2022,Q3,7925.589,1533.018,1398.242,111.362
2022,Q4,7852.0,550.0,55.0,332.0
2023,Q1,8161.503,1714.317,1305.12,435.748
2023,Q2,8187.301,1827.183,1487.61,288.0464
2023,Q3,8541.668,1916.394,1677.422,398.463
2023,Q4,8833.0,1496.0,938.0,815.0
2024,Q1,9370.44,2632.534,2332.209,442.50440000000003
2024,Q2,9559.31,2602.837,2147.306,258.1694
2024,Q3,9824.703,2909.477,2363.509,464.22020000000003
2024,Q4,10247.0,2273.0,1697.0,1382.0
2025,Q1,10542.801,3346.999,2890.351,557.8398000000001
2025,Q2,11079.166,3774.694,3125.413,484.6516
2025,Q3,11510.307,3248.247,2546.916,565.0348
2025,Q4,12051.0,2957.0,2307.0,1872.0
2026,Q1,12249.757,3956.997,5282.791,1058.041
